episode,reward,length
1,500.0,500
2,500.0,500
3,500.0,500
4,500.0,500
5,500.0,500
6,500.0,500
7,500.0,500
8,500.0,500
9,500.0,500
10,500.0,500
11,500.0,500
12,500.0,500
13,500.0,500
14,500.0,500
15,500.0,500
16,500.0,500
17,500.0,500
18,500.0,500
19,500.0,500
20,500.0,500
21,500.0,500
22,500.0,500
23,500.0,500
24,500.0,500
25,500.0,500
26,500.0,500
27,500.0,500
28,500.0,500
29,500.0,500
30,500.0,500
31,500.0,500
32,500.0,500
33,500.0,500
34,500.0,500
35,500.0,500
36,500.0,500
37,500.0,500
38,500.0,500
39,500.0,500
40,500.0,500
41,500.0,500
42,500.0,500
43,500.0,500
44,500.0,500
45,500.0,500
46,500.0,500
47,500.0,500
48,500.0,500
49,500.0,500
50,500.0,500
51,500.0,500
52,500.0,500
53,500.0,500
54,500.0,500
55,500.0,500
56,500.0,500
57,500.0,500
58,500.0,500
59,500.0,500
60,500.0,500
61,500.0,500
62,500.0,500
63,500.0,500
64,500.0,500
65,500.0,500
66,500.0,500
67,500.0,500
68,500.0,500
69,500.0,500
70,500.0,500
71,500.0,500
72,500.0,500
73,500.0,500
74,500.0,500
75,500.0,500
76,500.0,500
77,500.0,500
78,500.0,500
79,500.0,500
80,500.0,500
81,500.0,500
82,500.0,500
83,500.0,500
84,500.0,500
85,500.0,500
86,500.0,500
87,500.0,500
88,500.0,500
89,500.0,500
90,500.0,500
91,500.0,500
92,500.0,500
93,500.0,500
94,500.0,500
95,500.0,500
96,500.0,500
97,500.0,500
98,500.0,500
99,500.0,500
100,500.0,500
101,500.0,500
102,500.0,500
103,500.0,500
104,500.0,500
105,500.0,500
106,500.0,500
107,500.0,500
108,500.0,500
109,500.0,500
110,500.0,500
111,500.0,500
112,500.0,500
113,500.0,500
114,500.0,500
115,500.0,500
116,500.0,500
117,500.0,500
118,500.0,500
119,500.0,500
120,500.0,500
121,500.0,500
122,500.0,500
123,500.0,500
124,500.0,500
125,500.0,500
126,500.0,500
127,500.0,500
128,500.0,500
129,500.0,500
130,500.0,500
131,500.0,500
132,500.0,500
133,500.0,500
134,500.0,500
135,500.0,500
136,500.0,500
137,500.0,500
138,500.0,500
139,500.0,500
140,500.0,500
141,500.0,500
142,500.0,500
143,500.0,500
144,500.0,500
145,500.0,500
146,500.0,500
147,500.0,500
148,500.0,500
149,500.0,500
150,500.0,500
151,500.0,500
152,500.0,500
153,500.0,500
154,500.0,500
155,500.0,500
156,500.0,500
157,500.0,500
158,500.0,500
159,500.0,500
160,500.0,500
161,500.0,500
162,500.0,500
163,500.0,500
164,500.0,500
165,500.0,500
166,500.0,500
167,500.0,500
168,500.0,500
169,500.0,500
170,500.0,500
171,500.0,500
172,500.0,500
173,500.0,500
174,500.0,500
175,500.0,500
176,500.0,500
177,500.0,500
178,500.0,500
179,500.0,500
180,500.0,500
181,500.0,500
182,500.0,500
183,500.0,500
184,500.0,500
185,500.0,500
186,500.0,500
187,500.0,500
188,500.0,500
189,500.0,500
190,500.0,500
191,500.0,500
192,500.0,500
193,500.0,500
194,500.0,500
195,500.0,500
196,500.0,500
197,500.0,500
198,500.0,500
199,500.0,500
200,500.0,500
201,500.0,500
202,500.0,500
203,500.0,500
204,500.0,500
205,500.0,500
206,500.0,500
207,500.0,500
208,500.0,500
209,500.0,500
210,500.0,500
211,500.0,500
212,500.0,500
213,500.0,500
214,500.0,500
215,500.0,500
216,500.0,500
217,500.0,500
218,500.0,500
219,500.0,500
220,500.0,500
221,500.0,500
222,500.0,500
223,500.0,500
224,500.0,500
225,500.0,500
226,500.0,500
227,500.0,500
228,500.0,500
229,500.0,500
230,500.0,500
231,500.0,500
232,500.0,500
233,500.0,500
234,500.0,500
235,500.0,500
236,500.0,500
237,500.0,500
238,500.0,500
239,500.0,500
240,500.0,500
241,500.0,500
242,500.0,500
243,500.0,500
244,500.0,500
245,500.0,500
246,500.0,500
247,500.0,500
248,500.0,500
249,500.0,500
250,500.0,500
251,500.0,500
252,500.0,500
253,500.0,500
254,500.0,500
255,500.0,500
256,500.0,500
257,500.0,500
258,500.0,500
259,500.0,500
260,500.0,500
261,500.0,500
262,500.0,500
263,500.0,500
264,500.0,500
265,500.0,500
266,500.0,500
267,500.0,500
268,500.0,500
269,500.0,500
270,500.0,500
271,500.0,500
272,500.0,500
273,500.0,500
274,500.0,500
275,500.0,500
276,500.0,500
277,500.0,500
278,500.0,500
279,500.0,500
280,500.0,500
281,500.0,500
282,500.0,500
283,500.0,500
284,500.0,500
285,500.0,500
286,500.0,500
287,500.0,500
288,500.0,500
289,500.0,500
290,500.0,500
291,500.0,500
292,500.0,500
293,500.0,500
294,500.0,500
295,500.0,500
296,500.0,500
297,500.0,500
298,500.0,500
299,500.0,500
300,500.0,500
301,500.0,500
302,500.0,500
303,500.0,500
304,500.0,500
305,500.0,500
306,500.0,500
307,500.0,500
308,500.0,500
309,500.0,500
310,500.0,500
311,500.0,500
312,500.0,500
313,500.0,500
314,500.0,500
315,500.0,500
316,500.0,500
317,500.0,500
318,500.0,500
319,500.0,500
320,500.0,500
321,500.0,500
322,500.0,500
323,500.0,500
324,500.0,500
325,500.0,500
326,500.0,500
327,500.0,500
328,500.0,500
329,500.0,500
330,500.0,500
331,500.0,500
332,500.0,500
333,500.0,500
334,500.0,500
335,500.0,500
336,500.0,500
337,500.0,500
338,500.0,500
339,500.0,500
340,500.0,500
341,500.0,500
342,500.0,500
343,500.0,500
344,500.0,500
345,500.0,500
346,500.0,500
347,500.0,500
348,500.0,500
349,500.0,500
350,500.0,500
351,500.0,500
352,500.0,500
353,500.0,500
354,500.0,500
355,500.0,500
356,500.0,500
357,500.0,500
358,500.0,500
359,500.0,500
360,500.0,500
361,500.0,500
362,500.0,500
363,500.0,500
364,500.0,500
365,500.0,500
366,500.0,500
367,500.0,500
368,500.0,500
369,500.0,500
370,500.0,500
371,500.0,500
372,500.0,500
373,500.0,500
374,500.0,500
375,500.0,500
376,500.0,500
377,500.0,500
378,500.0,500
379,500.0,500
380,500.0,500
381,500.0,500
382,500.0,500
383,500.0,500
384,500.0,500
385,500.0,500
386,500.0,500
387,500.0,500
388,500.0,500
389,500.0,500
390,500.0,500
391,500.0,500
392,500.0,500
393,500.0,500
394,500.0,500
395,500.0,500
396,500.0,500
397,500.0,500
398,500.0,500
399,500.0,500
400,500.0,500
401,500.0,500
402,500.0,500
403,500.0,500
404,500.0,500
405,500.0,500
406,500.0,500
407,500.0,500
408,500.0,500
409,500.0,500
410,500.0,500
411,500.0,500
412,500.0,500
413,500.0,500
414,500.0,500
415,500.0,500
416,500.0,500
417,500.0,500
418,500.0,500
419,500.0,500
420,500.0,500
421,500.0,500
422,500.0,500
423,500.0,500
424,500.0,500
425,500.0,500
426,500.0,500
427,500.0,500
428,500.0,500
429,500.0,500
430,500.0,500
431,500.0,500
432,500.0,500
433,500.0,500
434,500.0,500
435,500.0,500
436,500.0,500
437,500.0,500
438,500.0,500
439,500.0,500
440,500.0,500
441,500.0,500
442,500.0,500
443,500.0,500
444,500.0,500
445,500.0,500
446,500.0,500
447,500.0,500
448,500.0,500
449,500.0,500
450,500.0,500
451,500.0,500
452,500.0,500
453,500.0,500
454,500.0,500
455,500.0,500
456,500.0,500
457,500.0,500
458,500.0,500
459,500.0,500
460,500.0,500
461,500.0,500
462,500.0,500
463,500.0,500
464,500.0,500
465,500.0,500
466,500.0,500
467,500.0,500
468,500.0,500
469,500.0,500
