episode,reward,length
1,29.0,29
2,17.0,17
3,69.0,69
4,15.0,15
5,39.0,39
6,25.0,25
7,14.0,14
8,23.0,23
9,28.0,28
10,42.0,42
11,25.0,25
12,28.0,28
13,17.0,17
14,33.0,33
15,12.0,12
16,17.0,17
17,16.0,16
18,22.0,22
19,30.0,30
20,20.0,20
21,16.0,16
22,62.0,62
23,10.0,10
24,26.0,26
25,16.0,16
26,14.0,14
27,10.0,10
28,11.0,11
29,18.0,18
30,18.0,18
31,20.0,20
32,40.0,40
33,15.0,15
34,13.0,13
35,31.0,31
36,27.0,27
37,9.0,9
38,17.0,17
39,26.0,26
40,22.0,22
41,14.0,14
42,24.0,24
43,8.0,8
44,23.0,23
45,18.0,18
46,16.0,16
47,35.0,35
48,9.0,9
49,18.0,18
50,42.0,42
51,25.0,25
52,10.0,10
53,12.0,12
54,11.0,11
55,17.0,17
56,27.0,27
57,45.0,45
58,24.0,24
59,22.0,22
60,29.0,29
61,26.0,26
62,13.0,13
63,15.0,15
64,20.0,20
65,23.0,23
66,20.0,20
67,15.0,15
68,20.0,20
69,11.0,11
70,43.0,43
71,36.0,36
72,38.0,38
73,32.0,32
74,29.0,29
75,12.0,12
76,11.0,11
77,42.0,42
78,14.0,14
79,14.0,14
80,14.0,14
81,73.0,73
82,12.0,12
83,12.0,12
84,15.0,15
85,17.0,17
86,43.0,43
87,20.0,20
88,44.0,44
89,22.0,22
90,18.0,18
91,14.0,14
92,16.0,16
93,39.0,39
94,12.0,12
95,17.0,17
96,18.0,18
97,17.0,17
98,29.0,29
99,25.0,25
100,17.0,17
